LeafMiner,SilentLibrarian,Oilrig,AjaxSecurityTeam,MosesStaff,Cleaver,CopyKittens,APT33,APT39,MuddyWater
T1110,T1583,T1087,T1555,T1087,T1557,T1560,T1071,T1071,T1548
T1110.003,T1583.001,T1087.001,T1555.003,T1087.001,T1557,T1560.001,T1071.001,T1071.001,T1548
T1059,T1110,T1087.002,T1105,T1587,T1557.002,T1560.003,T1560,T1071.004,T1548.002
T1059.007,T1110.003,T1071,T1056,T1587.001,T1557.002,T1059,T1560.001,T1560,T1548.002
T1136,T1114,T1071.001,T1056,T1190,T1587,T1059.001,T1547,T1560.001,T1087
T1136.001,T1114.003,T1071.004,T1056.001,T1562,T1587.001,T1564,T1547,T1197,T1087.002
T1555,T1585,T1119,T1056.001,T1562.004,T1585,T1564.003,T1547.001,T1197,T1583
T1555.003,T1585.002,T1110,T1566,T1105,T1585.001,T1588,T1547.001,T1547,T1583.006
T1189,T1589,T1059,T1566.001,T1027,T1588,T1588.002,T1110,T1547,T1071
T1114,T1589.002,T1059.001,T1566.003,T1588,T1588.002,T1090,T1110.003,T1547.001,T1071.001
T1114.002,T1589.003,T1059.003,T1204,T1588.002,T1003,T1553,T1059,T1547.001,T1560
T1083,T1588,T1059.005,T1204.002,T1021,T1003.001,T1553.002,T1059.001,T1547.009,T1560.001
T1046,T1588.002,T1555,,T1021.002,,T1218,T1059.005,T1547.009,T1547
T1027,T1588.004,T1555.003,,T1505,,T1218.011,T1555,T1110,T1547
T1588,T1598,T1555.004,,T1505.003,,,T1555.003,T1115,T1547.001
T1588.002,T1598.003,T1140,,T1553,,,T1132,T1059,T1547.001
T1003,T1594,T1573,,T1553.002,,,T1132.001,T1059.001,T1059
T1003.001,T1608,T1573.002,,T1082,,,T1573,T1059.005,T1059.001
T1003.004,T1608.005,T1048,,T1016,,,T1573.001,T1059.006,T1059.003
T1003.005,T1078,T1048.003,,,,,T1546,T1136,T1059.005
T1055,T1078,T1133,,,,,T1546,T1136.001,T1059.006
T1055,T1078,T1133,,,,,T1546.003,T1555,T1059.007
T1055.013,T1078,T1008,,,,,T1546.003,T1005,T1555
T1055.013,,T1070,,,,,T1048,T1074,T1555.003
T1018,,T1070.004,,,,,T1048.003,T1074.001,T1132
T1552,,T1105,,,,,T1203,T1140,T1132.001
T1552.001,,T1056,,,,,T1068,T1546,T1074
,,T1056,,,,,T1105,T1546,T1074.001
,,T1056.001,,,,,T1040,T1546.010,T1140
,,T1056.001,,,,,T1040,T1546.010,T1573
,,T1036,,,,,T1571,T1041,T1573.001
,,T1046,,,,,T1027,T1190,T1041
,,T1027,,,,,T1588,T1083,T1190
,,T1027.005,,,,,T1588.002,T1070,T1203
,,T1137,,,,,T1003,T1070.004,T1210
,,T1137.004,,,,,T1003.001,T1105,T1083
,,T1003,,,,,T1003.004,T1056,T1589
,,T1003.001,,,,,T1003.005,T1056,T1589.002
,,T1003.004,,,,,T1566,T1056.001,T1574
,,T1003.005,,,,,T1566.001,T1056.001,T1574
,,T1201,,,,,T1566.002,T1036,T1574
,,T1120,,,,,T1053,T1036.005,T1574.002
,,T1069,,,,,T1053,T1046,T1574.002
,,T1069.001,,,,,T1053,T1135,T1574.002
,,T1069.002,,,,,T1053.005,T1027,T1562
,,T1566,,,,,T1053.005,T1027.002,T1562.001
,,T1566.001,,,,,T1053.005,T1588,T1105
,,T1566.002,,,,,T1552,T1588.002,T1559
,,T1566.003,,,,,T1552.001,T1003,T1559.001
,,T1057,,,,,T1552.006,T1003.001,T1559.002
,,T1572,,,,,T1204,T1566,T1036
,,T1012,,,,,T1204.001,T1566.001,T1036.005
,,T1021,,,,,T1204.002,T1566.002,T1104
,,T1021.001,,,,,T1078,T1090,T1027
,,T1021.004,,,,,T1078,T1090.001,T1027.003
,,T1053,,,,,T1078,T1090.002,T1027.004
,,T1053,,,,,T1078,T1012,T1588
,,T1053,,,,,T1078.004,T1021,T1588.002
,,T1053.005,,,,,T1078.004,T1021.001,T1137
,,T1053.005,,,,,T1078.004,T1021.002,T1137.001
,,T1053.005,,,,,T1078.004,T1021.004,T1003
,,T1113,,,,,,T1018,T1003.001
,,T1505,,,,,,T1053,T1003.004
,,T1505.003,,,,,,T1053,T1003.005
,,T1218,,,,,,T1053,T1566
,,T1218.001,,,,,,T1053.005,T1566.001
,,T1082,,,,,,T1053.005,T1566.002
,,T1016,,,,,,T1053.005,T1057
,,T1049,,,,,,T1113,T1090
,,T1033,,,,,,T1505,T1090.002
,,T1007,,,,,,T1505.003,T1219
,,T1552,,,,,,T1553,T1053
,,T1552.001,,,,,,T1553.006,T1053
,,T1204,,,,,,T1033,T1053
,,T1204.001,,,,,,T1569,T1053.005
,,T1204.002,,,,,,T1569.002,T1053.005
,,T1078,,,,,,T1204,T1053.005
,,T1078,,,,,,T1204.001,T1113
,,T1078,,,,,,T1204.002,T1518
,,T1078,,,,,,T1078,T1518.001
,,T1497,,,,,,T1078,T1218
,,T1497,,,,,,T1078,T1218.003
,,T1497.001,,,,,,T1078,T1218.005
,,T1497.001,,,,,,T1102,T1218.011
,,T1047,,,,,,T1102.002,T1082
,,,,,,,,,T1016
,,,,,,,,,T1049
,,,,,,,,,T1033
,,,,,,,,,T1552
,,,,,,,,,T1552.001
,,,,,,,,,T1204
,,,,,,,,,T1204.001
,,,,,,,,,T1204.002
,,,,,,,,,T1102
,,,,,,,,,T1102.002
,,,,,,,,,T1047